word,babylm_freq,babylm_log_freq
adaptability,20,3.044522437723423
adaptation,443,6.095824562432225
adaptations,222,5.407171771460119
adapters,23,3.1780538303479458
adaptions,7,2.0794415416798357
adaptive,117,4.770684624465665
addiction,271,5.605802066295998
addictions,19,2.995732273553991
addition,2503,7.825644732219989
additions,167,5.123963979403259
additives,43,3.784189633918261
adequacy,6,1.9459101490553132
adhd,90,4.51085950651685
adherents,86,4.465908118654584
adhesives,7,2.0794415416798357
adipose,14,2.70805020110221
adjectives,123,4.820281565605037
adjustment,183,5.214935757608986
adjustments,103,4.6443908991413725
administrator,342,5.8377304471659395
administrators,125,4.836281906951478
admirals,80,4.394449154672439
admiralty,185,5.225746673713202
admiration,1113,7.01571242048723
admirers,137,4.927253685157205
admission,416,6.0330862217988015
admissions,95,4.564348191467836
adolescence,78,4.3694478524670215
adolescent,78,4.3694478524670215
adolescents,56,4.04305126783455
adoption,402,5.998936561946683
adoptions,11,2.4849066497880004
adoration,89,4.499809670330265
adornment,51,3.9512437185814275
adornments,18,2.9444389791664403
ads,270,5.602118820879701
adsorption,11,2.4849066497880004
adultery,173,5.159055299214529
adulthood,97,4.584967478670572
adults,1657,7.4133673356952405
advancement,205,5.327876168789581
advancements,41,3.7376696182833684
adventists,24,3.2188758248682006
adventurers,175,5.170483995038151
adverbs,44,3.8066624897703196
adversaries,69,4.248495242049359
adversity,95,4.564348191467836
advertisement,386,5.958424693029782
advertisements,258,5.556828061699537
advertisers,59,4.0943445622221
advice,3435,8.142063283104147
adviser,256,5.54907608489522
advisers,122,4.812184355372417
advisories,42,3.7612001156935624
advisors,90,4.51085950651685
advisory,268,5.594711379601839
advocacy,103,4.6443908991413725
aeneas,29,3.4011973816621555
aerial,453,6.118097198041348
aerials,26,3.295836866004329
aerobics,321,5.7745515455444085
aerodromes,16,2.833213344056216
aerodynamic,36,3.6109179126442243
aeronautics,72,4.290459441148391
aeroplane,1443,7.275172319452771
aeroplanes,248,5.517452896464707
aerosol,57,4.060443010546419
aerosols,15,2.772588722239781
aestheticism,2,1.0986122886681098
aesthetics,59,4.0943445622221
affability,21,3.091042453358316
affairs,2803,7.938802248154481
affection,1152,7.050122520269059
affections,207,5.337538079701318
affective,15,2.772588722239781
affiliation,70,4.2626798770413155
affinity,98,4.59511985013459
affirmation,61,4.127134385045092
afflictions,42,3.7612001156935624
affordability,14,2.70805020110221
africans,171,5.147494476813453
afternoon,10431,9.252633284166434
afternoons,312,5.746203190540153
aftershocks,27,3.332204510175204
agate,20,3.044522437723423
agda,1,0.6931471805599453
agencies,465,6.144185634125646
agendas,26,3.295836866004329
agent,3545,8.173575486634153
agents,1251,7.132497551660044
aggression,211,5.356586274672012
aggressor,28,3.367295829986474
agi,10,2.3978952727983707
agitation,262,5.572154032177765
agnes,920,6.825460036255307
agni,17,2.8903717578961645
agnostics,21,3.091042453358316
agreement,1984,7.59337419312129
agreements,225,5.420534999272286
agriculturist,14,2.70805020110221
ahmedabad,50,3.9318256327243257
ahmednagar,7,2.0794415416798357
aide,219,5.393627546352362
aileron,13,2.6390573296152584
ailerons,33,3.5263605246161616
ailments,63,4.1588830833596715
ailsa,15,2.772588722239781
airbases,3,1.3862943611198906
airfields,36,3.6109179126442243
airguns,4,1.6094379124341003
airline,615,6.423246963533519
airliner,86,4.465908118654584
airliners,31,3.4657359027997265
airplanes,624,6.437751649736401
airports,301,5.71042701737487
airship,329,5.799092654460526
airships,52,3.970291913552122
airspace,48,3.8918202981106265
airstrikes,43,3.784189633918261
airstrips,4,1.6094379124341003
airway,65,4.189654742026425
airy,237,5.472270673671475
aisles,98,4.59511985013459
ajaccio,20,3.044522437723423
akhtar,43,3.784189633918261
alabaster,79,4.382026634673881
alans,10,2.3978952727983707
alastair,35,3.58351893845611
albion,129,4.867534450455582
albums,1969,7.585788821732034
alcohol,1334,7.19668657083435
alcoholics,46,3.8501476017100584
aldehydes,34,3.5553480614894135
aldermen,29,3.4011973816621555
alders,41,3.7376696182833684
ale,350,5.860786223465865
alf,286,5.659482215759621
alger,266,5.58724865840025
aliases,41,3.7376696182833684
alienation,42,3.7612001156935624
alignment,85,4.454347296253507
alignments,19,2.995732273553991
alimony,73,4.30406509320417
alkalies,1,0.6931471805599453
alkalinity,9,2.302585092994046
alkene,30,3.4339872044851463
alkyne,5,1.791759469228055
allegations,268,5.594711379601839
allegiance,286,5.659482215759621
allegiances,7,2.0794415416798357
allegory,63,4.1588830833596715
aller,33,3.5263605246161616
allergies,128,4.859812404361672
allergy,122,4.812184355372417
alleviation,17,2.8903717578961645
alleys,98,4.59511985013459
alliances,93,4.543294782270004
allocation,226,5.424950017481403
allocations,79,4.382026634673881
allotments,20,3.044522437723423
allusion,189,5.247024072160486
allusions,82,4.418840607796598
almanacs,13,2.6390573296152584
almonds,124,4.8283137373023015
alms,160,5.081404364984463
almshouses,5,1.791759469228055
alouettes,13,2.6390573296152584
alpaca,24,3.2188758248682006
alphabets,106,4.672828834461906
alsace,72,4.290459441148391
altars,89,4.499809670330265
alteration,214,5.3706380281276624
alterations,135,4.912654885736052
alternations,10,2.3978952727983707
alternative,1392,7.239214973779806
alternatives,204,5.3230099791384085
altitude,784,6.665683717782408
altruism,55,4.02535169073515
alumni,120,4.795790545596741
alveoli,37,3.6375861597263857
amalgamations,10,2.3978952727983707
amateurs,127,4.852030263919617
amazement,1031,6.939253946041508
ambassadors,120,4.795790545596741
ambiance,18,2.9444389791664403
ambient,99,4.605170185988092
ambiguity,55,4.02535169073515
ambulances,166,5.117993812416755
amendments,150,5.017279836814924
amenities,74,4.31748811353631
amenity,21,3.091042453358316
amesbury,14,2.70805020110221
amiens,50,3.9318256327243257
amity,40,3.713572066704308
ammo,152,5.030437921392435
ammonia,240,5.484796933490655
ammonium,89,4.499809670330265
ammunition,925,6.8308742346461795
ammunitions,4,1.6094379124341003
amparo,26,3.295836866004329
amphetamine,20,3.044522437723423
amphetamines,20,3.044522437723423
amphibians,174,5.1647859739235145
amphipods,5,1.791759469228055
amphisbaenians,1,0.6931471805599453
amphitheatres,6,1.9459101490553132
amplification,18,2.9444389791664403
amplifiers,28,3.367295829986474
amplitude,67,4.219507705176107
amps,61,4.127134385045092
amulets,32,3.4965075614664802
amusement,1165,7.061334366910438
amusements,181,5.204006687076795
anabolic,18,2.9444389791664403
anaemia,25,3.258096538021482
analog,209,5.3471075307174685
analogy,181,5.204006687076795
analysis,1200,7.0909098220799835
analyst,192,5.262690188904886
analysts,72,4.290459441148391
analytics,14,2.70805020110221
anambra,11,2.4849066497880004
anarchism,57,4.060443010546419
anarchists,70,4.2626798770413155
anarchy,143,4.969813299576001
anatole,19,2.995732273553991
anatomists,10,2.3978952727983707
ancestors,906,6.810142450115136
anchovies,44,3.8066624897703196
anders,262,5.572154032177765
andersons,16,2.833213344056216
andres,43,3.784189633918261
androgens,10,2.3978952727983707
androids,48,3.8918202981106265
andromeda,188,5.241747015059643
anemia,61,4.127134385045092
anemones,90,4.51085950651685
angels,1289,7.162397497355718
anglers,44,3.8066624897703196
anglesea,3,1.3862943611198906
anglicans,33,3.5263605246161616
angst,33,3.5263605246161616
angus,181,5.204006687076795
animals,16857,9.732580600557428
animation,1040,6.947937068614969
animations,71,4.276666119016055
animator,162,5.093750200806762
animators,59,4.0943445622221
animism,65,4.189654742026425
animosities,11,2.4849066497880004
animosity,93,4.543294782270004
anion,22,3.1354942159291497
ankles,337,5.823045895483019
anklets,45,3.828641396489095
annalists,5,1.791759469228055
annals,111,4.718498871295094
annexation,112,4.727387818712341
annihilation,75,4.330733340286331
anniversaries,37,3.6375861597263857
anniversary,1027,6.93537044601511
annotation,7,2.0794415416798357
announcement,877,6.777646593635117
announcements,110,4.709530201312334
announcer,816,6.705639094860003
annoyance,332,5.808142489980444
annoyances,27,3.332204510175204
annuals,34,3.5553480614894135
annuities,10,2.3978952727983707
anomalies,58,4.07753744390572
anonymity,62,4.143134726391533
antagonism,53,3.9889840465642745
antagonists,88,4.48863636973214
anteaters,31,3.4657359027997265
antelopes,66,4.204692619390966
antennas,147,4.997212273764115
anthems,75,4.330733340286331
anthologies,25,3.258096538021482
anthrax,90,4.51085950651685
anthropologists,81,4.406719247264253
anthropology,193,5.267858159063328
antibiotics,342,5.8377304471659395
antibodies,117,4.770684624465665
anticipation,326,5.7899601708972535
anticonvulsants,5,1.791759469228055
antidepressants,39,3.6888794541139363
antigen,30,3.4339872044851463
antihero,15,2.772588722239781
antihistamines,15,2.772588722239781
antimony,100,4.61512051684126
antioxidants,17,2.8903717578961645
antiprotons,11,2.4849066497880004
antiquaries,20,3.044522437723423
antiquities,96,4.574710978503383
antiquity,237,5.472270673671475
antisemitism,43,3.784189633918261
antiseptics,15,2.772588722239781
antisocial,57,4.060443010546419
antivirals,8,2.1972245773362196
antlers,253,5.537334267018537
ants,919,6.824373670043086
anus,129,4.867534450455582
anxieties,104,4.653960350157523
anxiety,1843,7.519692404116539
apartheid,212,5.3612921657094255
apartment,2974,7.99799931797973
apartments,420,6.042632833682381
aphorisms,8,2.1972245773362196
apocalypse,138,4.9344739331306915
apollon,7,2.0794415416798357
apologies,441,6.091309882077698
apologists,4,1.6094379124341003
apology,680,6.523562306149512
apostles,272,5.60947179518496
apostolic,126,4.844187086458591
apothecaries,9,2.302585092994046
apparatuses,6,1.9459101490553132
apparitions,32,3.4965075614664802
appearance,4457,8.402455513945814
appearances,1090,6.994849985833071
appeasement,9,2.302585092994046
appellations,11,2.4849066497880004
appendices,25,3.258096538021482
appetites,232,5.4510384535657
appetizers,54,4.007333185232471
applause,1316,7.183111701743281
applejack,54,4.007333185232471
apples,2529,7.835974581721566
appliance,71,4.276666119016055
appliances,158,5.0689042022202315
application,1284,7.158513997329321
applications,816,6.705639094860003
appointment,1456,7.284134806195205
appointments,336,5.820082930352362
appraisal,139,4.941642422609304
appreciation,453,6.118097198041348
apprehension,297,5.697093486505405
apprenticeships,18,2.9444389791664403
appropriateness,11,2.4849066497880004
appropriation,36,3.6109179126442243
appropriations,34,3.5553480614894135
approval,1064,6.970730078143525
approvals,34,3.5553480614894135
apps,155,5.049856007249537
apricots,82,4.418840607796598
aprons,142,4.962844630259907
aptitudes,8,2.1972245773362196
aquaculture,10,2.3978952727983707
aquariums,45,3.828641396489095
aqueduct,54,4.007333185232471
aqueducts,21,3.091042453358316
aquinas,38,3.6635616461296463
arabization,1,0.6931471805599453
arachnids,38,3.6635616461296463
arachnoid,5,1.791759469228055
aranyakas,2,1.0986122886681098
arbitration,94,4.553876891600541
arcades,29,3.4011973816621555
archaeologists,183,5.214935757608986
archaeology,175,5.170483995038151
archbishops,36,3.6109179126442243
archeologists,28,3.367295829986474
archeology,41,3.7376696182833684
archers,175,5.170483995038151
archery,139,4.941642422609304
archetypes,8,2.1972245773362196
architects,247,5.5134287461649825
architecture,1131,7.0317412587631285
archivist,26,3.295836866004329
archways,11,2.4849066497880004
ardennes,41,3.7376696182833684
ardor,73,4.30406509320417
areas,4916,8.50045386741194
areca,19,2.995732273553991
arena,970,6.878326468291325
ares,107,4.68213122712422
argentines,8,2.1972245773362196
argonauts,48,3.8918202981106265
argument,1802,7.497207223203318
arguments,673,6.513230110912307
arianism,25,3.258096538021482
aries,84,4.442651256490317
aristocracy,102,4.634728988229636
aristocrats,85,4.454347296253507
aristophanes,25,3.258096538021482
aristotelianism,2,1.0986122886681098
arles,86,4.465908118654584
armadillos,18,2.9444389791664403
armament,73,4.30406509320417
armaments,42,3.7612001156935624
armies,917,6.822197390620491
armlets,20,3.044522437723423
armory,142,4.962844630259907
aroma,113,4.736198448394496
arousal,77,4.356708826689592
arquebuses,16,2.833213344056216
arrangement,1188,7.080867896690782
arrangements,1260,7.13966033596492
arras,45,3.828641396489095
arrival,2022,7.612336837167746
arrivals,154,5.043425116919247
arrogance,133,4.897839799950911
arrowheads,36,3.6109179126442243
arrows,1240,7.123672785204607
arsenals,8,2.1972245773362196
arsons,4,1.6094379124341003
art,8050,8.993551586299981
artefacts,40,3.713572066704308
arteries,158,5.0689042022202315
arterioles,3,1.3862943611198906
arteriosclerosis,18,2.9444389791664403
artery,269,5.598421958998375
arthritis,195,5.278114659230517
arthropods,100,4.61512051684126
articulation,73,4.30406509320417
artifacts,150,5.017279836814924
artificers,14,2.70805020110221
artillery,761,6.635946555686647
artisans,50,3.9318256327243257
artists,2272,7.728855823852543
artworks,81,4.406719247264253
arup,6,1.9459101490553132
asbestos,92,4.532599493153256
ascension,158,5.0689042022202315
ascents,18,2.9444389791664403
ascetics,11,2.4849066497880004
asda,149,5.0106352940962555
asexuality,17,2.8903717578961645
ashok,21,3.091042453358316
aslan,23,3.1780538303479458
asp,25,3.258096538021482
aspect,1033,6.9411900550683745
aspects,715,6.573680166960646
asphyxiation,42,3.7612001156935624
aspiration,110,4.709530201312334
aspirations,146,4.990432586778736
aspirin,247,5.5134287461649825
assassination,484,6.184148890937483
assassinations,60,4.110873864173311
assassins,169,5.135798437050262
assemblies,119,4.787491742782046
asses,351,5.863631175598097
assessment,417,6.035481432524756
assessments,63,4.1588830833596715
assessor,19,2.995732273553991
asset,262,5.572154032177765
assets,476,6.1675164908883415
assiduity,8,2.1972245773362196
assignment,554,6.318968113746434
assignments,130,4.875197323201151
assimilation,51,3.9512437185814275
assiniboine,12,2.5649493574615367
assistance,1769,7.478734825567875
assistants,286,5.659482215759621
associations,430,6.066108090103747
assumption,379,5.940171252720432
assumptions,145,4.983606621708336
assurances,96,4.574710978503383
asters,22,3.1354942159291497
asthma,234,5.459585514144159
astrocytes,8,2.1972245773362196
astrolabes,3,1.3862943611198906
astrologers,39,3.6888794541139363
astrology,94,4.553876891600541
astronautics,6,1.9459101490553132
astronauts,193,5.267858159063328
astronomers,224,5.41610040220442
astronomy,347,5.8522024797744745
astrophysicists,12,2.5649493574615367
astrophysics,34,3.5553480614894135
asylum,422,6.0473721790462776
asylums,20,3.044522437723423
atheism,93,4.543294782270004
atheists,57,4.060443010546419
athenians,62,4.143134726391533
athlete,724,6.586171654854675
athletes,624,6.437751649736401
athleticism,7,2.0794415416798357
atkins,187,5.236441962829949
atlases,22,3.1354942159291497
atmosphere,1736,7.459914766241105
atmospheres,36,3.6109179126442243
atolls,20,3.044522437723423
atom,645,6.470799503782602
atoms,842,6.736966958001855
atonement,72,4.290459441148391
atrocities,107,4.68213122712422
atrocity,39,3.6888794541139363
attachments,54,4.007333185232471
attacker,137,4.927253685157205
attackers,99,4.605170185988092
attainment,49,3.912023005428146
attendance,492,6.20050917404269
attendances,22,3.1354942159291497
attendants,318,5.765191102784844
attention,8693,9.070388411548738
attics,57,4.060443010546419
attis,8,2.1972245773362196
attitude,1752,7.469083884921234
attitudes,284,5.652489180268651
attorneys,120,4.795790545596741
attraction,702,6.555356891810665
attractions,431,6.068425588244111
attractiveness,42,3.7612001156935624
attribution,23,3.1780538303479458
attributions,6,1.9459101490553132
audacity,139,4.941642422609304
audibility,2,1.0986122886681098
audience,2490,7.820439515262181
audiences,304,5.720311776607412
audiobooks,15,2.772588722239781
auditor,150,5.017279836814924
auditors,157,5.062595033026967
aunts,399,5.991464547107982
aurelius,54,4.007333185232471
austerities,4,1.6094379124341003
austerity,46,3.8501476017100584
authentication,31,3.4657359027997265
authenticity,65,4.189654742026425
authorisation,41,3.7376696182833684
authoritarianism,10,2.3978952727983707
authorities,2008,7.605392364814935
authorization,101,4.624972813284271
autism,234,5.459585514144159
auto,885,6.786716950605081
autobots,65,4.189654742026425
autocracy,16,2.833213344056216
autoimmunity,11,2.4849066497880004
automation,50,3.9318256327243257
autonomy,138,4.9344739331306915
autopilot,23,3.1780538303479458
autos,37,3.6375861597263857
auxiliaries,41,3.7376696182833684
availability,151,5.0238805208462765
avarice,47,3.871201010907891
avars,22,3.1354942159291497
avatars,53,3.9889840465642745
avengers,148,5.003946305945459
avenues,131,4.882801922586371
aversions,5,1.791759469228055
aves,15,2.772588722239781
aviation,711,6.568077911411976
aviator,317,5.762051382780177
aviators,216,5.37989735354046
avionics,15,2.772588722239781
avocados,26,3.295836866004329
avocations,16,2.833213344056216
avoidance,53,3.9889840465642745
awaji,16,2.833213344056216
awareness,358,5.883322388488279
awkwardness,74,4.31748811353631
axial,39,3.6888794541139363
axioms,34,3.5553480614894135
axis,446,6.102558594613569
axle,178,5.187385805840755
axles,55,4.02535169073515
axons,38,3.6635616461296463
ayers,98,4.59511985013459
ayrshire,46,3.8501476017100584
azaleas,41,3.7376696182833684
azerbaijanis,20,3.044522437723423
aztecs,152,5.030437921392435
babes,255,5.545177444479562
baboons,72,4.290459441148391
babs,48,3.8918202981106265
babyface,16,2.833213344056216
backers,26,3.295836866004329
backpackers,12,2.5649493574615367
backstage,120,4.795790545596741
backstory,25,3.258096538021482
backups,22,3.1354942159291497
backwardness,13,2.6390573296152584
bacteria,931,6.837332814685591
baez,44,3.8066624897703196
bafta,211,5.356586274672012
bagels,147,4.997212273764115
baggage,679,6.522092798170152
bagpipes,48,3.8918202981106265
bailiffs,25,3.258096538021482
bains,79,4.382026634673881
bakeries,40,3.713572066704308
bakers,123,4.820281565605037
bakery,273,5.6131281063880705
balconies,72,4.290459441148391
ballads,144,4.976733742420574
ballets,173,5.159055299214529
ballistics,85,4.454347296253507
balloonist,25,3.258096538021482
ballroom,216,5.37989735354046
ballrooms,7,2.0794415416798357
baloo,108,4.6913478822291435
bam,657,6.489204931325317
bamboo,487,6.1903154058531475
bananas,1497,7.311886164077165
bandits,360,5.8888779583328805
bangles,62,4.143134726391533
banishment,79,4.382026634673881
bankers,134,4.90527477843843
banknotes,76,4.343805421853684
bankruptcies,5,1.791759469228055
bankruptcy,177,5.181783550292085
banners,245,5.5053315359323625
bannock,36,3.6109179126442243
bapaume,10,2.3978952727983707
baptism,299,5.703782474656201
baptisms,22,3.1354942159291497
baptist,295,5.69035945432406
baptists,47,3.871201010907891
barbarians,156,5.056245805348308
barbarism,39,3.6888794541139363
barbarity,31,3.4657359027997265
barbie,946,6.853299093186078
barbiturate,10,2.3978952727983707
baritone,72,4.290459441148391
barnacles,47,3.871201010907891
barnes,373,5.924255797414532
barns,196,5.2832037287379885
barons,221,5.402677381872279
barranquilla,17,2.8903717578961645
barriers,272,5.60947179518496
barristers,13,2.6390573296152584
barstools,2,1.0986122886681098
bartenders,12,2.5649493574615367
baryons,13,2.6390573296152584
baseball,3930,8.27664912542186
baseman,297,5.697093486505405
basements,44,3.8066624897703196
bashkirs,9,2.302585092994046
basics,219,5.393627546352362
basins,121,4.804021044733257
basis,1904,7.552237287560802
basketball,2583,7.857093864902493
baskets,907,6.811244378601294
baskin,33,3.5263605246161616
basque,192,5.262690188904886
bassanio,10,2.3978952727983707
bastards,559,6.327936783729195
bastions,35,3.58351893845611
batgirl,43,3.784189633918261
bathory,26,3.295836866004329
bathroom,4132,8.326758814511733
bathrooms,120,4.795790545596741
bathtubs,36,3.6109179126442243
bathymetry,2,1.0986122886681098
batons,27,3.332204510175204
battalion,610,6.415096959171596
battalions,141,4.955827057601261
batteries,1658,7.413970290190444
battery,2058,7.629975707027789
battlefields,35,3.58351893845611
battlements,61,4.127134385045092
battleship,143,4.969813299576001
bavarians,6,1.9459101490553132
bayview,20,3.044522437723423
bazaars,29,3.4011973816621555
bb,107,4.68213122712422
bdsm,25,3.258096538021482
beagles,16,2.833213344056216
bearers,194,5.272999558563747
bearings,387,5.961005339623274
beas,9,2.302585092994046
beasts,1316,7.183111701743281
beatings,48,3.8918202981106265
beatitude,6,1.9459101490553132
beatles,577,6.359573868672378
beauties,318,5.765191102784844
beautification,9,2.302585092994046
beauty,4849,8.48673398393153
beccles,10,2.3978952727983707
bedouins,12,2.5649493574615367
bedrock,67,4.219507705176107
bedrooms,411,6.021023349349527
beehives,45,3.828641396489095
beers,287,5.662960480135946
beet,156,5.056245805348308
beets,356,5.877735781779639
beginnings,230,5.442417710521793
behavior,1411,7.252762418053187
behaviors,138,4.9344739331306915
behaviour,1082,6.9874902470009905
behaviours,61,4.127134385045092
beings,1490,7.307202314764738
beja,16,2.833213344056216
belarusians,13,2.6390573296152584
belfort,30,3.4339872044851463
belgians,96,4.574710978503383
belief,1753,7.469654172932128
beliefs,902,6.805722553416985
believers,205,5.327876168789581
belongings,411,6.021023349349527
benedictines,10,2.3978952727983707
benediction,68,4.23410650459726
benefactors,36,3.6109179126442243
beneficiaries,36,3.6109179126442243
benevolence,96,4.574710978503383
bengals,37,3.6375861597263857
bengtsson,5,1.791759469228055
benzodiazepines,21,3.091042453358316
bequests,9,2.302585092994046
berar,2,1.0986122886681098
berbers,25,3.258096538021482
berlanti,4,1.6094379124341003
beta,407,6.0112671744041615
betel,105,4.663439094112067
betrayals,6,1.9459101490553132
beutler,12,2.5649493574615367
beverage,170,5.14166355650266
beverages,85,4.454347296253507
bewilderment,199,5.298317366548036
bhagnani,2,1.0986122886681098
bhajans,8,2.1972245773362196
bhakti,30,3.4339872044851463
biberach,15,2.772588722239781
bibles,77,4.356708826689592
bibliography,80,4.394449154672439
bicyclists,8,2.1972245773362196
biennials,15,2.772588722239781
bifurcation,6,1.9459101490553132
bigotry,40,3.713572066704308
bigots,14,2.70805020110221
bikers,30,3.4339872044851463
bile,108,4.6913478822291435
billboards,71,4.276666119016055
billiards,127,4.852030263919617
billionaires,39,3.6888794541139363
billions,289,5.66988092298052
binaries,10,2.3978952727983707
binder,212,5.3612921657094255
binders,29,3.4011973816621555
binky,118,4.77912349311153
biochemist,88,4.48863636973214
biochemistry,99,4.605170185988092
biochemists,8,2.1972245773362196
biodiesel,25,3.258096538021482
biodiversity,104,4.653960350157523
biogas,21,3.091042453358316
biogeography,20,3.044522437723423
biographers,13,2.6390573296152584
biographies,90,4.51085950651685
biography,1642,7.404279118037268
biologists,119,4.787491742782046
biology,744,6.61338421837956
biomaterials,4,1.6094379124341003
biomechanics,4,1.6094379124341003
biometrics,12,2.5649493574615367
biophysicist,10,2.3978952727983707
biophysics,19,2.995732273553991
biotechnologist,1,0.6931471805599453
biotechnology,39,3.6888794541139363
bioterrorism,5,1.791759469228055
birthday,14219,9.562404703357231
birthdays,357,5.8805329864007
biscuits,2030,7.616283561580385
bisexuals,11,2.4849066497880004
bishops,423,6.049733455231958
bismuth,64,4.174387269895637
bitcoin,80,4.394449154672439
bits,4511,8.414495793177895
bitterness,309,5.736572297479192
bitumen,16,2.833213344056216
bivalves,55,4.02535169073515
blackbirds,114,4.74493212836325
blackboards,11,2.4849066497880004
blacksmithing,12,2.5649493574615367
blacksmiths,65,4.189654742026425
blackwood,27,3.332204510175204
bladder,285,5.655991810819852
blades,563,6.335054251498059
blasphemies,9,2.302585092994046
blasphemy,86,4.465908118654584
bleachers,115,4.7535901911063645
blender,122,4.812184355372417
blenders,7,2.0794415416798357
blessings,515,6.246106765481563
blindness,183,5.214935757608986
blizzards,43,3.784189633918261
blockers,27,3.332204510175204
blockhouses,15,2.772588722239781
bloggers,16,2.833213344056216
bloomers,15,2.772588722239781
blouses,68,4.23410650459726
blowers,20,3.044522437723423
bluebell,58,4.07753744390572
bluebells,26,3.295836866004329
blueberries,223,5.4116460518550396
boarders,198,5.293304824724492
boardwalks,4,1.6094379124341003
boars,65,4.189654742026425
boathouse,64,4.174387269895637
boatmen,100,4.61512051684126
bobcats,33,3.5263605246161616
bodice,65,4.189654742026425
bodyguards,84,4.442651256490317
bodyshell,9,2.302585092994046
bodywork,32,3.4965075614664802
bogies,33,3.5263605246161616
bogota,71,4.276666119016055
bohemians,21,3.091042453358316
boiler,444,6.09807428216624
boilers,85,4.454347296253507
boldness,104,4.653960350157523
bollywood,187,5.236441962829949
bolsheviks,102,4.634728988229636
bombala,3,1.3862943611198906
bombardiers,2,1.0986122886681098
bombardment,252,5.53338948872752
bombers,367,5.908082938168931
bombings,207,5.337538079701318
bonbons,35,3.58351893845611
bondage,130,4.875197323201151
bondsman,17,2.8903717578961645
bonobos,12,2.5649493574615367
bonus,615,6.423246963533519
bonuses,96,4.574710978503383
boobies,68,4.23410650459726
bookbinding,12,2.5649493574615367
booker,95,4.564348191467836
bookkeepers,11,2.4849066497880004
booklet,186,5.231108616854587
booklets,73,4.30406509320417
bookmarks,9,2.302585092994046
booksellers,99,4.605170185988092
bookshops,8,2.1972245773362196
bookstores,29,3.4011973816621555
booster,210,5.351858133476067
booths,83,4.430816798843313
bootleggers,13,2.6390573296152584
booty,348,5.855071922202427
borderlands,8,2.1972245773362196
borderline,77,4.356708826689592
borers,6,1.9459101490553132
bork,11,2.4849066497880004
boroughs,151,5.0238805208462765
bosniaks,17,2.8903717578961645
botulism,14,2.70805020110221
boulders,202,5.313205979041787
boulevards,32,3.4965075614664802
bouncy,780,6.660575149839686
boundaries,625,6.439350371100098
boundary,800,6.68586094706836
bounties,33,3.5263605246161616
bounty,327,5.793013608384144
bouquets,67,4.219507705176107
boutiques,26,3.295836866004329
bowel,115,4.7535901911063645
bowsprit,109,4.700480365792417
boxers,135,4.912654885736052
boys,31059,10.343676096702678
bra,401,5.996452088619021
bracelets,262,5.572154032177765
brachiopods,28,3.367295829986474
brahman,82,4.418840607796598
brahmans,21,3.091042453358316
brahmins,61,4.127134385045092
brahms,102,4.634728988229636
