word1,word2,freq_w1_w2,freq_w2_w1,pos1,pos2,example_sentence
abdiel,clare,0,1,NOUN,NOUN,[Illustration: CLARE AND ABDIEL AT THE LOCKED PUMP.]
abdomen,cepholothorax,1,0,NOUN,NOUN,"Their body has two body parts, called abdomen and cepholothorax."
abdominal,back,2,0,ADJ,ADJ,"""Effective for training the abdominal and back muscles."""
abdominal,chest,0,1,NOUN,ADJ,Chest and abdominal dressings soaked through.
abdominal,pancreatic,1,0,ADJ,ADJ,"Earwood died from abdominal and pancreatic cancer on April 21, 2014 in Humble, Texas."
abdominal,thoracic,0,1,NOUN,ADJ,The thoracic and abdominal segments have a few rows of either orange or black warts.
abducted,murdered,6,0,VERB,VERB,A 5-year-old boy was Abducted and murdered.
abducted,raped,1,0,VERB,VERB,She was abducted and raped.
abduction,disappearance,0,1,NOUN,NOUN,"The subjects of the movie are a beautiful tourist named Iris Henderson, disappearance and abduction."
abduction,murder,1,0,NOUN,NOUN,Two eleven year old boys deny abduction and murder.
abduction,murders,1,0,NOUN,NOUN,This movie is also about abduction and murders.
abductions,slavery,1,0,NOUN,NOUN,"im Dekalog"" (1953)) suggest that the commandment ""you shall not steal"" was originally intended against stealing people—abductions and slavery."
abed,asleep,2,0,ADJ,ADJ,"For mercy's sake, remember that it's twelve o'clock and everybody's abed and asleep."
abetting,aiding,0,7,VERB,VERB,"It wouldn't help, and he'd be admitting to aiding and abetting."
abhor,deny,0,1,VERB,NOUN,"Rejoined the shepherd, ""All thou sayest I deny and abhor, and all thou offerest I reject: for thou art cunning and perfidious and there is no honesty in thee nor is there honour."
abhorred,loathed,0,1,VERB,VERB,"He was perfectly innocent, and yet he already stood convicted in the public mind of having done a thing that he loathed and abhorred."
abiding,deep,0,2,ADJ,ADJ,"And again--‘It was his deep and abiding sense of the debt which he owed to his Saviour, which made the Judge devote not only his substance but his heart and his soul to the Lord."
abiding,strong,0,1,ADJ,VERB,"His popularity had come late in his midshipman career, but it was now strong and abiding."
abilities,appearance,0,1,NOUN,NOUN,He is similar in appearance and abilities to Robin Hood.
abilities,memories,0,1,NOUN,NOUN,I can even copy memories and abilities!
abilities,soldiers,0,1,NOUN,NOUN,Each group has a different set of soldiers and abilities.
ability,communication,2,0,NOUN,NOUN,"Courses will generally include more than 10 jumps, and require the horse and rider to do many complicated turns, jump at difficult angles, and perform more advanced tests of ability and communication."
ability,determination,1,0,NOUN,NOUN,The main necessity is ability and determination that is going to the end.
abject,dejected,0,2,ADJ,ADJ,"I grew up dejected and abject; poor, ✿ But Allah vouchsafed me all boons implored: I have conquered countries and mastered men ✿ But for Thee were I naught, O thou Lord adored!"
abject,downcast,0,1,ADJ,VERB,They were downcast and abject and held their faces so low on their breasts that at first he did not recognize them.
abject,full,0,1,ADJ,ADJ,"Print a full and abject apology on the front page of the ""Beacon"", and get the paper to pay him a substantial sum by way of damages."
abject,utter,0,1,ADJ,ADJ,And Mark and Texas stood and stared at each other in utter and abject consternation.
abject,vile,0,1,ADJ,ADJ,"If thou strike this bargain I will fare with thee, for I am a stranger and I was high in honour among my tribe, and I awoke one morning to find myself vile and abject."
abjurer,nowhere,1,0,NOUN,ADV,The longest example in the English language is the pair of 7-letter words abjurer and nowhere; there is also the 7-letter pair chechen and purpura.
abkhazian,georgian,0,1,ADJ,ADJ,"In the late 1980s, tensions grew between the Georgian and Abkhazian communities in the region."
able,brave,1,1,ADJ,ADJ,"Vainly Franklin protested that other Americans, “able and brave men,” deserved credit for the Revolution."
able,discreet,1,0,ADJ,ADJ,"The first lieutenant was an able and discreet officer, and would not permit the Chatauqua to be imperilled even for a moment."
able,earnest,0,1,ADJ,ADJ,"""A volume of earnest and able sermons, full of life and vigour."
able,energetic,2,0,ADJ,ADJ,"Ripperda, the commandant of the garrison, was an able and energetic officer."
able,experienced,0,1,ADJ,ADJ,"""The experienced and able fliers must take care of such of the enemy as venture to attack our big machines."
able,fit,0,1,ADJ,ADJ,I mean you want to see the world when you you know when you're fit and able.
able,judicious,1,0,ADJ,ADJ,"An able and judicious man named Rudolph Brun, leader in the revolt, was appointed burgomaster, and administered his office with a strong, sure hand."
able,old,0,2,ADJ,ADJ,"In the harbor, at the time of the battles just described, the Spaniards had a fleet of war-ships under the command of Admiral Cervera, an old and able naval commander."
able,scholarly,1,0,ADJ,ADJ,"Professor Rasmus Anderson has defended that thesis in a book which is able and scholarly, a book which every reader must treat with respect, even though he may not find its arguments convincing."
able,trustworthy,1,0,ADJ,ADJ,"Ere he went upstairs to bed, Michael had hunted amongst the encyclopædias in his shop till he found what he believed to be an able and trustworthy article on diphtheria."
able,willing,1,2,ADJ,ADJ,#Am willing and able#
able,wily,2,0,ADJ,ADJ,This the able and wily King of Pontus was not going to allow.
able,young,0,1,ADJ,ADJ,"Lieutenant Valk, you are young and able..."
ablest,best,1,0,NOUN,ADJ,"He called a council of his ablest and best friends and advisers, consisting of the principal officers of his army, and laid the facts before them."
abloom,fragrant,1,0,NOUN,ADJ,All the world was abloom and fragrant with later spring.
abloom,sweet,1,0,NOUN,ADJ,"All the garden was abloom and sweet with the fragrance of growing fruit, tangled vines and flowers."
ablution,drinking,0,1,NOUN,NOUN,"Water was at hand, and after drinking and ablution, the group sat down to their morning meal, which disposed of the last remnant furnished by Vose Adams."
abnegation,humility,0,1,NOUN,NOUN,"When the signal notes had died away, every one bent forward and, having taken a bit of earth upon a finger tip placed it in the mouth as a sign of humility and abnegation."
abnormal,artificial,0,1,ADJ,ADJ,"The conditions just described were artificial and abnormal, but varying temperatures, if extreme, might act in a similar manner."
abnormal,exotic,0,2,ADJ,ADJ,I'm seeking an exotic and abnormal kind of fabric.
abnormal,weak,0,1,ADJ,ADJ,He's weak and abnormal.
abominable,brutal,0,1,ADJ,ADJ,They examined her body in a brutal and abominable way.
abominable,fatal,0,2,ADJ,ADJ,"In order to indulge it to the utmost, Epimetheus sat down sullenly in a corner with his back towards Pandora; while Pandora flung herself upon the floor and rested her head on the fatal and abominable box."
abominable,viperish,1,0,ADJ,ADJ,"By the Almighty, we have escaped from the blackamoor and from drowning: but how shall we escape from this abominable and viperish monster?”"
aboriginal,natural,0,1,ADJ,ADJ,"[Footnote 130: John Haywood, the Natural and Aboriginal History of Tennessee (up to 1768)."
aboriginal,northern,0,1,ADJ,ADJ,Hamelin specialized in Northern and Aboriginal peoples studies.
abort,miscarry,1,0,VERB,NOUN,It's whole herds that abort and miscarry.
aborted,unranked,1,0,ADJ,ADJ,"In the aborted and unranked game season 1944/45, the matches were played exclusively by youth players."
abortion,contraception,1,0,NOUN,NOUN,He was against abortion and contraception in general.
abortion,euthanasia,1,0,NOUN,NOUN,Abortion and euthanasia are also legal in the Netherlands under strict conditions.
abortion,gays,0,2,NOUN,NOUN,"Even though, when it comes to gays and abortion,"
abortion,peace,1,0,NOUN,NOUN,"Marie, we help women who want abortion and peace."
abortion,racism,1,0,NOUN,NOUN,The show deals with many controversial issues (including abortion and racism).
about,hour,1,0,ADV,NOUN,He came and left about and hour afterward
about,out,0,26,ADV,ADV,get out and about
about,over,0,2,ADV,ADV,"so I started climbing a rock, looking over and about to see if I could see him."
about,round,0,2,ADV,ADV,oh you're moving them round and about on the sofa.
about,up,0,13,ADV,ADV,"It used to make me better to see him, and make me long to be up and about, and out in the dear old pine woods again."
above,around,1,0,ADV,ADV,The clouds all gone; nothing but the clear blue sky above and around.
above,behind,2,0,ADV,ADV,"Above and behind, sounded the plop of star-shells sent up by the enemy in futile hope of penetrating the viscid fog."
above,below,13,1,ADV,ADV,[overlaps with examiner above and below.]
above,left,0,1,ADJ,ADV,Highlights shining on the reflective petals of the buttercup can be seen in the images at left and above.
above,over,1,3,ADV,ADV,"“Well, I agreed to take care of you till you were twenty-one, and pay him fifty dollars a year over and above for your services."
above,underground,1,0,ADJ,ADJ,"Buona Vista MRT station is the second station to serve as an interchange between an above and underground MRT line, with the first being Paya Lebar."
aboveboard,frank,0,2,ADJ,ADJ,If there's one thing I've learned in this world it's the exact moment when not to be frank and aboveboard.
aboveboard,open,0,2,ADJ,ADJ,Professor Puffer is always open and aboveboard.”
aboyne,called,0,1,VERB,ADJ,"There is seperate costumes for other dances, for the flora, scotch measure, lilt and a few others the outfit is called and aboyne."
abraded,lacerated,1,0,VERB,VERB,His feet are abraded and lacerated.
abrasive,aggressive,0,2,ADJ,ADJ,"Blending electronic synthesisers, guitars and early samplers, these bands created an aggressive and abrasive music fusing elements of rock with experimental electronic music."
abrasive,divisive,1,0,ADJ,ADJ,Thatcher was such an abrasive and divisive person.
abridge,control,1,0,VERB,NOUN,"If it may destroy, it may abridge and control."""
abridged,revised,0,1,ADJ,VERB,"A revised and abridged edition of Bunyan’s “Rhimes” appeared in 1701, under the title: _"
abroad,domestically,0,1,ADV,ADV,"In other news, stock markets rose domestically and abroad after the announcement of strong earnings"
abroad,here,2,1,ADV,ADV,Mr Hogarty has an absolute sterling reputation here and abroad.
abroad,home,0,1,NOUN,ADV,"The top trainers at home and abroad, Claire Hurst, the National and International Championships , I've seen her on ice on the"
abroad,inland,0,1,VERB,ADV,Sultan Abdulaziz frequently organized trips to inland and abroad.
abrogated,abrogating,0,5,NOUN,ADJ,"—— (abrogating and abrogated passages), 194"
abrupt,blunt,0,1,ADJ,ADJ,"If she was blunt and abrupt in her manners, she was a very faithful soul, and her north-country brains were shrewd and keen."
abrupt,brief,0,1,ADJ,ADJ,It's a it's a brief and abrupt account of the events of Jesus life.
abrupt,convulsive,1,0,ADJ,ADJ,"Won't that pup""--an abrupt and convulsive cough subsided brilliantly into, ""that pet of a Berta be pleased!"
abrupt,hasty,1,0,ADJ,ADJ,"Dear Miss Goose: Accept apologies profuse, For the abrupt and hasty way, In which I left you yesterday."
abrupt,jagged,1,0,ADJ,ADJ,"After the turn in the mountain trail, an abrupt and jagged cliff ahead beckoned the way."
abrupt,tender,1,0,ADJ,ADJ,"""Any luggage, ma'am?"" asked a sympathetic porter--for railway porters are sometimes more sympathetic than might be expected of men so much accustomed to witness abrupt and tender partings."
abruptly,squarely,0,1,ADV,ADV,"In necessity, she squats squarely and abruptly right down on her shins, her hind legs forming a kind of dam against the stream that gushes out from behind."
abscesses,boils,1,0,NOUN,NOUN,"And always in my attic, in our bedroom, as kids, you could always see dried dock leaves and dried stinking nanny, for poultices, for abscesses and boils."
absence,separation,2,0,NOUN,NOUN,"""This letter is from the captive of captivation ✿ prisoned in the hold of longing expectation ✿ wherefrom is no emancipation ✿ but in anticipation and intercourse and in unification ✿ after absence and separation."
absence,substitution,1,0,NOUN,NOUN,"Okay, apologies for absence and substitution."
absentees,men,1,0,NOUN,NOUN,"Dealing with absentees and men who had ""got adrift"" had occupied a good part of his time during the last two years."
absolute,apparent,1,1,ADJ,ADJ,It has a apparent and absolute magnitude of 5.88 and -0.73 and so the star is visible to the naked eye.
absolute,complete,0,3,ADJ,ADJ,"I told him my story, and he brought me home--yes, home, for this is indeed a complete and absolute home to me."
absolute,constitutional,1,1,ADJ,ADJ,"Enacted after the Meiji Restoration in 1868, it provided for a form of mixed constitutional and absolute monarchy, based jointly on the German and British models."
absolute,dangerous,1,0,ADJ,ADJ,"His men hung back of him, silent and motionless, for they did not like this absolute and dangerous defiance of their chief."
absolute,real,0,1,ADJ,ADJ,Newton thought space and time were real and absolute.
absolute,relative,3,0,ADJ,ADJ,Absolute and relative poverty.
absolute,rich,1,0,ADJ,ADJ,An absolute and rich life... which we all lived
absolute,total,0,1,ADJ,ADJ,I therefore have no hesitation whatever in opposing this this total and absolute fudge.
absolute,unnecessary,1,0,ADJ,ADJ,“How dare you insult my intelligence by such an absolute and unnecessary falsehood!
absolute,utter,1,0,ADJ,VERB,"Yes, but are you telling me the abs absolute and utter  truth?"
absolutely,completely,0,1,ADV,ADV,"As we explained at the beginning erm spending on housing is completely and absolutely separate from all the rest of the Council's spending, so that"
absolutely,entirely,7,0,ADV,ADV,I consider we were absolutely and entirely pixie-led.
absolutely,soley,1,0,ADV,ADJ,This is now absolutely and soley in my power
absolutely,thoroughly,1,1,ADV,ADV,“Jota for once in her life was thoroughly and absolutely ashamed of herself.
absolutely,totally,0,1,ADV,ADV,But er the B M A were totally and absolutely against this er National Health Service.
absolutely,truly,1,0,ADV,ADV,"""Yes, I do, absolutely and truly mean it."""
absolutely,wholeheartedly,1,0,ADV,ADV,"To absolutely and wholeheartedly believe that somewhere in the abyss, you are getting closer to the secrets of the universe."
absorb,observe,0,2,VERB,VERB,Observe and absorb.
absorbed,admiring,1,0,VERB,VERB,Even practical Uncle John stood absorbed and admiring until the soft voice of the facchino called to ask if he wanted hot water in which to bathe before dinner.
absorbed,attentive,1,0,VERB,ADJ,My rapid motions made such rapid caricatures that I remained absorbed and attentive.
absorbed,digested,0,1,VERB,VERB,"After lactose is digested and absorbed, galactose arrives in the liver."
absorbed,entranced,1,0,VERB,VERB,"For over an hour, with scarce an interruption, Miss Allyn played on and on, and Marie-Celeste never stirred from the choirmaster's chair, in which she sat absorbed and entranced."
absorbed,pensive,1,0,VERB,ADJ,"But a hush fell over the assemblage as the great Indra slowly made his way to Asneha, and for a while stood absorbed and pensive, looking at the musician."
absorbing,long,0,1,ADJ,ADJ,"To them, as to a child, it is one long and absorbing game of make-believe."
absorbing,overmastering,1,0,NOUN,VERB,"If I may cite my own experience, it was largely the absorbing and overmastering passion for the study of history that first led me to study evolution in order to obtain a correct method."
absorption,adsorption,1,0,NOUN,NOUN,"In the year 1909, James William McBain introduced the word Sorption to describe such a process, in the case where it is not easy or meaningful to make a difference between absorption and adsorption."
absorption,hardness,0,1,NOUN,NOUN,Suspension must be tuned based on hardness and absorption..
abstemious,foresighted,1,0,ADJ,VERB,"I appreciated myself hard for being right and noble and abstemious and foresighted--with respect to the semester's expenses, you perceive, and also self-denying and self-reliant."
abstract,geometrical,0,1,ADJ,ADJ,Geometrical and abstract elements are combined with figurative elements.
abstract,noble,1,0,ADJ,ADJ,"Descending from the ""abstract and noble"" to the ""mechanical and earthly"", the three groups were:"
abstract,photorealistic,1,0,ADJ,ADJ,Richter is known for his abstract and photorealistic paintings.
abstract,realist,0,1,ADJ,ADJ,"He was known for his paintings of female nudes, whose work had elements of realist and abstract art."
abstracted,moody,0,1,ADJ,VERB,"He was moody and abstracted, and often went for days at a time without speaking except in monosyllables."
abstracted,shabby,0,1,ADJ,ADJ,"In the overnight hours after formation, the storm was disorganized with a shabby and abstracted center of circulation."
abstraction,romance,0,1,NOUN,NOUN,"Margaret was not like her sister in the matter of romance and abstraction from every-day scenes and pursuits, though she loved to regard Susan as something wonderful, and show off her literary productions."
abstracts,verbs,0,1,VERB,NOUN,"Most nouns come from Hausa, while verbs and abstracts come from Igbo or Yoruba."
absurd,boorish,0,1,ADJ,ADJ,¶ about hockey being boorish and absurd. ¶
absurd,contradictory,1,2,ADJ,ADJ,The legends respecting his origin and life are as numerous as they are absurd and contradictory.
absurd,cruel,0,1,ADJ,ADJ,"We are a little puzzled about the poor little girls; as their cruel and absurd pardah rules prevent the possibility of gathering them all together, even in the Bible-woman’s house.’"
absurd,inappropriate,1,0,ADJ,ADJ,That's absurd and inappropriate.
absurd,nonsensical,0,1,ADJ,ADJ,"""I have no objection to that, but I must caution you against repeating this nonsensical and absurd story."
absurd,oppressive,1,0,ADJ,ADJ,It wou d be absurd and oppressive.
absurd,satirical,0,1,ADJ,ADJ,"It can be used in a wide range of comedic situations, from one-liners and observational humor to satirical and absurd scenarios."
absurd,terrible,1,0,ADJ,ADJ,Everything that makes human life absurd and terrible.
absurd,unusual,0,1,ADJ,ADJ,"The show follows Tori and her friends as she finds her place within Hollywood Arts, completing school projects that usually involve musical and theatrical performances, and overcoming unusual and absurd challenges."
absurdism,nihilism,0,1,NOUN,NOUN,Philosophies such as nihilism and absurdism deny that life has any meaning.
absurdities,mysteries,0,1,NOUN,NOUN,"This is an ancient practice; the manner of it is still a part of the mahouts' science, and full of mysteries and absurdities."
abundance,diversity,2,0,NOUN,NOUN,"It's the reason the fish life so is rich, both in abundance and diversity."
abundance,peace,1,0,NOUN,NOUN,"He was identified with the Greek titan Kronos, whose reign (often referred to as the Golden Age) was regarded as a time of abundance and peace."
abundant,cheap,0,1,ADJ,ADJ,The goal of this research is the conversion of cheap and abundant alkanes into valuable functionalized organic compounds.
abundant,cordial,1,0,ADJ,ADJ,Here she entertained his numerous friends and guests with an abundant and cordial hospitality.
abundant,diverse,1,1,ADJ,ADJ,"At one time they were a diverse and abundant group, as shown by the fossil record."
abundant,early,0,1,ADJ,ADJ,"And she shook hands with every one of the young soldiers, and wished them God-speed, and early and abundant victory, and the blessings of a long peace."
abundant,good,1,0,ADJ,ADJ,"This whole world is, as it were, a large garden, in which God has appointed to every man a place, that he may bring forth abundant and good fruit."
abundant,nourishing,0,1,ADJ,ADJ,From his storehouse of meal and meat he had prepared a nourishing and abundant meal for all.
abundant,rich,0,2,ADJ,ADJ,"Buffalo milk too is a most valuable food, rich and abundant."
abundant,savory,0,1,ADJ,ADJ,"It was savory and abundant, and Bomba ate it with a relish."
abundant,toothsome,0,1,ADJ,ADJ,"They promised not to forget the time in their enthusiasm for the sport, and, stowing away in their basket the toothsome and abundant lunch put up by Mrs. Melton, they started off gaily on their trip."
abundant,widespread,0,1,ADJ,ADJ,"So I mean, these foxes are still widespread and abundant, they can sustain seventy percent losses, so what human intervention are you doing?"
abuse,corruption,0,1,NOUN,NOUN,Corruption and abuse from the violent are triumphant.
abuse,derision,1,0,NOUN,NOUN,The drivers of such vehicles have reported abuse and derision from pedestrians and other drivers.
abuse,harassment,0,1,NOUN,NOUN,"Some men, such as actors Terry Crews and James Van Der Beek, have responded to the hashtag with their own experiences of harassment and abuse."
abuse,harm,1,0,NOUN,NOUN,Abuse and harm caused to the child.
abuse,ignorance,0,1,NOUN,NOUN,We gotta shed light into the darkness of ignorance and abuse.
abuse,indignation,1,0,NOUN,NOUN,"That fired Chauncey again, and he went off into another tirade of abuse and indignation, which was finally closed by the officers offering to “soak him” if he didn’t shut up."
abuse,kill,1,0,VERB,VERB,"""I can abuse and kill, but I I have the satisfaction that he does not know and I know. """
abuse,profanity,0,1,NOUN,NOUN,Outbursts in the form of constant murmurs and derision shouting profanity and abuse
abuse,rape,0,1,NOUN,NOUN,"Their relationship became well known in 1993 when, after claims of years of rape and abuse by her husband, Lorena cut off his penis with a knife while he was asleep in bed."
abuse,reproach,1,0,NOUN,NOUN,"Both terms, finally, came to be mere catch-words for abuse and reproach."
abuse,sympathy,1,0,NOUN,NOUN,Object of abuse and sympathy.
abuse,threats,0,2,NOUN,NOUN,But when he got outside the gate and a bit away he stopped and turned round and let fly at Dad—such a volley of threats and abuse you never heard.
abuse,violence,2,2,NOUN,NOUN,"The issues are corruption, human trafficking, abuse and violence against women and children, child labour, and criminal defamation laws."
abused,exploited,1,0,VERB,VERB,They're abused and exploited.
abused,mistreated,1,1,VERB,VERB,"The principal continued by commending with some warmth the individual whose impulses led him, regardless of personal danger or the chance of being misunderstood, to stand up in defense of one who was being mistreated and abused."
abused,ridiculed,0,1,VERB,VERB,He'll be ridiculed and abused.
abused,stabbed,2,0,VERB,VERB,He'd been sexually Abused and stabbed.
abused,things,1,0,VERB,NOUN,"A:	Um, the first thing that comes to mind is kind of those horror movies that you see,  where elderly people are abused and things like that."
abused,ugly,0,1,ADJ,ADJ,"Ugly And Abused, Locked Away."
abuses,usurpations,1,0,NOUN,NOUN,"""But when a long train of abuses and usurpations,"
abusive,coarse,0,1,ADJ,ADJ,"The Rovers yelled, and indulged freely in coarse and abusive language, as they approached."
abusive,cynical,0,1,ADJ,ADJ,"Those of his own mess admired him for his seamanlike ability, but despised him for his cynical and abusive disposition."
abusive,foul,0,1,ADJ,ADJ,This was due to the sending off of Graham Lambourn for foul and abusive language to an opponent.
abusive,threatening,0,1,VERB,ADJ,"It seems to me it's almost impossible to do so, because what is threatening and abusive in one situation wouldn't be in another."
acacia,cactus,0,1,NOUN,NOUN,A winding trail led to a rocky field of cactus and acacia to a temple mound overrun with desert growths.
academic,accountability,1,0,ADJ,NOUN,"From 2009 to 2011, she was the academic and accountability officer for the Detroit Public Schools system."
academic,athletic,1,0,ADJ,ADJ,This high school is known for its academic and athletic programs.
academic,career,1,0,ADJ,NOUN,"It marks the transition from earlier education to the final year of high school, preparing students for their future academic and career paths."
academic,creative,1,0,ADJ,ADJ,"In the modern context, manuscript writing continues to hold relevance, particularly in academic and creative fields."
academic,cultural,1,0,ADJ,ADJ,"While at Princeton, Robinson became involved with the Third World Center, an academic and cultural group who supported minority students."
academic,industrial,0,1,ADJ,ADJ,"He then returned to Britain, engaging in various industrial and academic roles."
academic,islamist,1,0,ADJ,ADJ,"Su'ad al-Fatih al-Badawi, a Sudanese academic and Islamist politician, has argued that feminism is incompatible with ""taqwa"" (the Islamic idea of piety)."
academic,law,1,0,ADJ,NOUN,"He graduated from the academic and law departments of Washington and Lee University in 1876, then practiced law in Oregon, and soon be a member of the State legislature."
academic,media,1,0,ADJ,NOUN,"but just as Gutenbergs printing press was revolutionary in the 16'th century, today we're at the dawn of internet enlightenment which will remove the cloud of ignorance upheld by academic and media gatekeepers."
academic,moral,0,1,ADJ,ADJ,Barnum promised to take care of the moral and academic education of the brothers.
academic,musical,0,1,ADJ,ADJ,The two children received their musical and academic education from their father.
academic,parental,1,0,ADJ,ADJ,"Therefore, for many years Calvert School nine-year-old pupils have been taught World History in spite of academic and parental skepticism and antagonism."
academic,political,3,0,ADJ,ADJ,Huck Gutman (born about 1944) is an American academic and political advisor.
academic,private,1,0,ADJ,ADJ,It can also be used for other research and projections that are carried out in academic and private spheres.
academic,professional,2,0,ADJ,ADJ,Academic and professional career.
academic,research,2,1,ADJ,NOUN,"The academic and research programs, including industrial research collaborations, are mainly offered in French in English."
academic,scholarly,0,1,ADJ,ADJ,Pseudoscholarship is anything that pretends to be scholarly and academic but is not.
academic,scientific,1,2,ADJ,ADJ,JSPS has many scientific and academic programs.
academic,social,1,0,ADJ,ADJ,"Anupam Sen (born August 5, 1940) is a Bangladeshi academic and social scientist."
academic,study,1,0,ADJ,VERB,and are translated into a work for academic and study for the purpose of general  knowledge about the English language.
academic,technical,1,0,ADJ,ADJ,Northeast State also offers academic and technical certificates in more than a twelve areas of study.
academic,university,1,0,ADJ,NOUN,George Benneh (6 March 1934 – 11 February 2021) was a Ghanaian academic and university administrator.
academics,love,0,1,NOUN,NOUN,It would be nice to be on the same level as Kyouko-chan in love and academics.
academics,science,0,1,NOUN,NOUN,In science and academics:
academics,students,1,0,NOUN,NOUN,The college were going to try the issue before a pr private almost secret little disciplinary committee containing academics and students.
accelerate,continue,0,1,VERB,VERB,"Developments like this mean that even if alluvial gold gives out or becomes less profitable, the uncontrolled search for wealth will continue and accelerate."
accelerating,constant,0,1,ADJ,VERB,A story of constant and accelerating change.
acceleration,power,1,0,NOUN,NOUN,"That one last step that he takes instantaneously adds acceleration and power, changing Mr. Himrua's god-like speed Battoujutsu into a super god-like speed sword draw, Amakakeru Ryu no Hirameki."
acceleration,velocity,0,2,NOUN,NOUN,"For example, velocity and acceleration are used by physics to show how things move."
accent,pronunciation,1,0,NOUN,NOUN,"His English was fluent, with little oddities of accent and pronunciation; and after every few words he drew deep, audible gasps for breath."
accents,dialects,1,0,NOUN,NOUN,"South African English is spoken in South Africa, and it exhibits a variety of accents and dialects influenced by the country's diverse population, including British, Afrikaans, and indigenous languages."
accents,hyphenation,0,1,NOUN,NOUN,Variations in hyphenation and accents have been standardised but all other spelling and punctuation remains unchanged.
accents,letters,0,1,NOUN,NOUN,They also had how letters and accents looked when they were written as capital letters.
accept,give,0,2,VERB,VERB,e to be able to give and accept.
accept,understand,1,0,VERB,VERB,This vital part of his legacy has been the most difficult for us to accept and understand.
acceptable,common,0,1,ADJ,ADJ,"Unfortunately at this time, discrimination of all types was common and acceptable—nothing like how it is today."
acceptable,standard,0,1,ADJ,ADJ,Just being able to put a complicated procedure into a standard and acceptable form would make it easier to work with.
acceptable,understandable,0,2,ADJ,ADJ,"Five, six, seven, eight minutes are understandable and acceptable  lives are regularly saved in that time."
acceptable,welcome,1,0,ADJ,ADJ,"She was quite content to be half-adopted by the Farringtons, and to know she was such an acceptable and welcome addition to their household."
acceptable,worthy,0,1,ADJ,ADJ,"Perhaps he would not have trusted his daughter in the giddy whirl of society if he had not known of someone every way worthy and acceptable, who was watching her and waiting for the right moment to speak."
acceptance,community,2,0,NOUN,NOUN,"In collectivist societies, the needs of acceptance and community may outweigh the needs for freedom and individuality."
acceptance,recognition,0,1,NOUN,NOUN,"People in queer online communities used ""rest in power"" to honor Leelah and her struggle for recognition and acceptance."
acceptance,tolerance,0,1,NOUN,NOUN,"In 2010s, LGBT people in India gained tolerance and acceptance, especially in large cities."
accepted,dance,0,1,VERB,VERB,She was quite longing to dance and accepted.
accepted,encouraged,3,0,VERB,VERB,In The Factory you were accepted and encouraged and even expected to be different.
accepted,given,0,1,VERB,VERB,"Now the folk crowded round us with great shouts of welcome, and the men came to thrust forward the hilts of their weapons that she should touch them, in token of homage given and accepted."
